0	270	270	160	160	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
1	270	270	160	160	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1
2	270	270	160	160	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	0	1
3	320	300	160	160	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
4	320	300	160	160	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
5	270	270	160	160	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1
6	320	300	160	160	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7	270	270	160	160	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
8	270	270	160	160	0	0	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1	1	1	0
9	270	270	160	160	0	0	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	0	0	1	0	1	0	0	1
10	270	270	160	160	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
11	270	270	160	160	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
